S.No	Question	Marks	Keyword	Difficulty
1	Write in brief about mv command.	2	Command 	0
2	Write a short note on find command.	2	command 	1
3	Discuss in brief about ls command.	2	Command 	2
4	What is the purpose of finger command.	2	Command 	1
5	Write short nodes on sed.	2	SED 	1
6	How to insert lines into a sed script?	3	SED 	2
7	Write about awk command.	2	AWK 	1
8	List the types of shell.	3	Shell 	2
9	Write about shell variables.	3	Shell 	1
10	Discuss about functions in shell.	2	Shell 	0
11	How can you repeat a command 10 times using only a for loop?	2	Program 	1
12	Write a shell script which receives two filenames as arguments. It should check whether the two files contents are same or not. If they are same then second file should be deleted. Use 'cmp' command to compare lines.	3	Program 	2
13	Compare the features of stream-editor with line-editor.	3	Shell 	1
14	Write a sed script to print all lines of a file that is passed as command line argument by changing the string Madras with Chennai.	2	Program 	2
15	Write an awk program to print the fields 1 and 4 of a file that is passed as a command line argument. This file contains lines of information that is separated by a "," as delimiter. The awk program must print at the end the sum of all 4th field data.	2	Program 	0
16	Write a shell script to find the factorial of a number.	3	Program 	1
17	Write a shell program to find whether a given number is prime or not using command line arguments.	3	Program 	2
18	Devise a shell that lists all files in the home directory without using is command.	2	Program 	1
19	Explain the following commands with syntax, (a)ln (b)mv (c)rm (d)ulimit.	5	Command 	2
20	Explain the following commands with syntax, (a)find (b)unlink.	5	Command 	1
21	Explain the following commands with syntax, (a)mkdir (b)mount (c)cp.	5	Command 	0
22	Explain the following commands with syntax, (a)wc (b)umask.	5	Command 	1
23	Describe file handling utilities in detail.	5	Files 	2
24	Write in brief about data command.	3	Command 	1
25	Explain about umount command.	3	Command 	0
26	Explain about file security in Unix.	5	Files 	1
27	What are file permissions? What command is used to view the permissions on a file?	5	Files 	2
28	How to change file permissions in Linux? Explain with relevant example.	5	Files 	1
29	Differentiate relative permissions and absolute permissions with suitable examples.	3	Files 	0
30	Explain the ps command with syntax.	3	Command 	1
31	Explain the w command with syntax.	3	Command 	2
32	Write a short note on du and df utilities.	5	Utilities 	0
33	Write about disk utilities. Give syntax and examples.	5	Disks 	1
34	Write short notes on process utilities and disk utilities.	5	Utilities 	2
35	Explain various file handling and disk processing utilities with examples.	5	Utilities 	1
36	Explain networking commands with an example.	5	Command 	2
37	Explain the following commands with syntax, (a)ftp (b)arp (c)rlogin.	5	Command 	1
38	What information is presented when the following commands are entered? (a)nl x.c (b)tee x.sh (c)tee x.dat	5	Command 	2
39	Discuss the significance of filters and identify some filter commands of your choice. Explain them briefly.	5	Command 	2
40	Explain the following commands with syntax, (a)cat (b)tail (c)head (d)uniq.	5	Command 	1
41	Explain the following commands with syntax, (a)comm (b)cmp (c)diff (d)tr.	5	Command 	2
42	Explain the following commands with syntax, (a)cut (b)sort (c)paste.	5	Command 	1
43	Explain the "more" command with syntax.	5	Command 	0
44	Write in detail about the following, (a)Text processing utilities (b)Backup utilities.	5	Utilities 	0
45	Give an overview about sed with examples.	5	SED 	2
46	Explain the operation of sed utility with an example.	5	SED 	1
47	Explain the following, (a)sed script (b)sed addresses.	5	SED 	2
48	Explain in detail on how debugging can be done in running shell scripts.	3	Shell 	0
49	Explain the following sed commands, (a)insert and append (b)delete (c)change (d)line number (e)substitute.	5	Command 	1
50	Explain the following sed commands, (a)transform (b)read and write file (c)branch (d)hold space (e)quit.	5	Command 	2
51	Explain the input/output commands available with sed utility.	5	SED 	2
52	Explain the flags supported by the substitute command of sed utility.	5	Command 	0
53	Write a sed command that copies a file into standard output, removing all blank lines(lines with no characters on them).	5	Program 	2
54	Using sed, how do you convert files with toggle characters like +this+, to look like [i]this[/i]?	5	Program 	1
55	Using sed, how do you perform a case-insensitive search?	5	Program 	0
56	HOw do you locate lines beginning and ending with a dot using sed?	3	SED 	2
57	What is the purpose of awk command? Explain the various options available with the awk commands using an example.	5	AWK 	0
58	Explain the features of awk.	5	AWK 	1
59	Discuss the importance of fields and records in awk.	3	AWK 	0
60	Discuss briefly about the buffers in awk.	2	AWK 	1
61	Name the different variables available in awk. Explain them.	5	AWK 	2
62	Write a detailed note on awk script.	3	AWK 	2
63	Give brief description about the execution of awk.	5	AWK 	1
64	Explain in detail about the different patterns available in awk.	5	AWK 	0
65	What are the different types of operators used in awk shell script? Explain.	5	AWK 	2
66	Explain the pattern/action syntax.	5	AWK 	1
67	What is an action in awk? Write about expression and output statements.	5	AWK 	0
68	Explain the following decision making procedures using awk shell scripts with examples, (i)if then else (b)nested if (c)case statements.	5	Program 	2
69	Explain the following in terms of awk shell script, (a)if without else (b)else without if (c)wildcard characters.	5	Program 	1
70	Mention different types of loop statements in awk shell script.	5	Program 	0
71	Explain control actions in awk with examples.	5	AWK 	1
72	Explain in detail about associative arrays in awk.	5	AWK 	2
73	Explain string functions with suitable examples.	5	AWK 	1
74	Explain the mathematical functions with examples.	5	AWK 	0
75	Define user-defined function. Explain the procedure to create user-defined functions in awk.	5	AWK 	2
76	What are the methods to use system commands in awk? List the applications of sed.	5	AWK 	0
77	What is a shell? What are the responsibilities of a shell?	5	Shell 	1
78	Discuss about input redirection and output redirection in shell scripts.	5	Shell 	2
79	Write down the characteristics and responsibilities of shell.	5	Shell 	1
80	What are the different types of shell available in Unix?	3	Shell 	2
81	Write in detail on the here documents feature provided in bash with examples.	5	Shell 	1
82	What is a shell script? Explain how a script is used as a problem solving approach.	5	Shell 	2
83	What are the different types of arithmetic operators used in shell programming?	5	Shell 	0
84	Explain how the shell treat a command line passed to it.	5	Shell 	1
85	Write about shell metacharacters.	5	Shell 	2
86	What is a metacharacter? List and explain about any 7 metacharacters available in Unix.	5	Shell 	0
87	Write short notes on shell metacharacters and file name substitution.	5	Shell 	1
88	Explain about the shell variables.	5	Shell 	2
89	Write in detail on the file name expansion features provided in bash with examples.	5	Shell 	2
90	Write in detail on the command expansion feature provided in bash with examples.	5	Shell 	1
91	What is command substitution? Give some examples.	5	Shell 	0
92	Write about expr command with some examples.	5	Command 	2
93	Explain the following, (a)who|sort (b)ls|wc-l (c)who|wc-l.	5	Command 	1
94	Describe any 4 built-in variables in shell and demonstrate their use giving an example for each.	5	Shell 	2
95	Explain the working environment or built-in variables of shell.	5	Shell 	1
96	What is quoting? Differentiate three quote tokens, a backlash, a pair of double quotes and a pair of single quotes.	5	Shell 	2
97	Explain the significance of single quote and double quotes.	5	Shell 	1
98	Explain test statement. What is the difference between test and if statements?	5	Shell 	2
99	Write in detail on the features of test command.	5	Shell 	1
100	Explain various conditional structures supported by shell with programming examples.	5	Shell 	2
101	Explain about the control structures used in shell programming with suitable examples.	5	Shell 	1
102	Write briefly on case control structure in bash with examples. Write briefly on "||" operator in bash.	5	Shell 	1
103	Explain the following shell commands with an example, (a)break (b)continue.	5	Shell 	0
104	Does the Bourne shell support arithmetic operations? What command is used for this purpose? Explain.	5	Shell 	1
105	Write a shell script to accept a string from the terminal and use 'case' to echo a suitable message if the string does not have at least 10 characters using, (a)case (b)expr.	5	Program 	1
106	Write a shell script to display GUD MRNG, GUD AFTERNOON, GUD NIGHT based on system time whenever user logs on.	5	Program 	0
107	Write a shell script to implement background process that will continually print current time in upper right corner of the screen, while user can do his/her normal job at prompt.	5	Program 	1
108	Explain in detail about interrupt processing in Bourne shell.	5	Shell 	2
