S.No	Question	Marks	Keyword	Difficulty
309	question 1	DISKS	2	0
310	question 1	FILES	2	1
311	question 1	SHELL	2	1
312	question 1	PROGRAM	2	2
313	question 1	PROCESS	2	1
314	question 1	SHELL	3	0
315	question 1	DIRECTORY SYSTEM CALL	3	1
316	question 1	THREADS	3	1
317	question 1	DIRECTORY SYSTEM CALL	3	2
318	question 1	FILE PROGRAM	3	2
319	question 1	SIGNALS	5	1
320	question 1	SHELL	5	1
321	question 1	DISKS	5	0
322	question 1	PROGRAM	5	1
323	question 1	SIGNALS	5	1
324	question 1	THREADS	5	2
325	question 1	PIPES	5	2
326	question 1	DIRECTORIES	5	1
327	question 1	SIGNALS	5	1
328	question 1	MESSAGE QUEUES	5	0
